,depth below sea level (m),gamma ray
570,669.3380568000001,84.867
571,669.4904568000001,92.55
572,669.6428568,98.634
573,669.7952568,97.514
574,669.9476568000001,92.29
575,670.1000568000001,88.18
576,670.2524568,84.086
577,670.4048568,80.739
578,670.5572568000001,80.237
579,670.7096568000001,80.478
580,670.8620568,81.462
581,671.0144568,82.446
582,671.1668568000001,83.306
583,671.3192568000001,82.186
584,671.4716568,77.353
585,671.6240568,72.52
586,671.7764568000001,67.688
587,671.9288568000001,66.568
588,672.0812568,68.789
589,672.2336568,74.104
590,672.3860568000001,77.936
591,672.5384568000001,80.9
592,672.6908568,82.998
593,672.8432568,83.61
594,672.9956568000001,84.347
595,673.1480568000001,86.568
596,673.3004568,87.552
597,673.4528568,92.171
598,673.6052568000001,97.664
599,673.7576568000001,98.658
600,673.9100568,97.902
601,674.0624568,96.52
602,674.2148568000001,95.389
603,674.3672568000001,97.258
604,674.5196568,100.869
605,674.6720568,101.977
606,674.8244568000001,101.476
607,674.9768568000001,101.098
608,675.1292568,101.958
609,675.2816568,102.942
610,675.4340568000001,105.287
611,675.5864568000001,109.241
612,675.7388568,112.081
613,675.8912568,111.827
614,676.0436568000001,108.48
615,676.1960568000001,103.523
616,676.3484568,95.827
617,676.5008568,89.612
618,676.6532568000001,81.931
619,676.8056568000001,77.228
620,676.9580568,79.208
621,677.1104568,81.683
622,677.2628568000001,87.624
623,677.4152568000001,92.949
624,677.5676568,100.002
625,677.7200568,103.834
626,677.8724568000001,100.238
627,678.0248568000001,95.776
628,678.1772568,92.181
629,678.3296568,91.184
630,678.4820568000001,92.787
631,678.6344568000001,91.543
632,678.7868568,86.463
633,678.9392568,81.259
634,679.0916568000001,81.5
635,679.2440568000001,84.835
636,679.3964568,90.151
637,679.5488568,95.466
638,679.7012568000001,100.781
639,679.8536568000001,102.138
640,680.0060568,101.265
641,680.1584568,97.669
642,680.3108568000001,94.94
643,680.4632568000001,92.582
644,680.6156568,92.328
645,680.7680568,93.19
646,680.9204568000001,94.669
647,681.0728568000001,96.148
648,681.2252568,97.008
649,681.3776568,97.002
650,681.5300568000001,95.139
651,681.6824568000001,91.42
652,681.8348568,88.567
653,681.9872568,90.418
654,682.1396568000001,97.96
655,682.2920568000001,105.627
656,682.4444568,105.126
657,682.5968568,101.902
658,682.7492568000001,98.678
659,682.9016568000001,95.454
660,683.0540568,92.354
661,683.2064568,89.13
662,683.3588568000001,85.286
663,683.5112568000001,82.805
664,683.6636568,83.17
665,683.8160568,87.126
666,683.9684568000001,92.317
667,684.1208568000001,96.518
668,684.2732568,96.388
669,684.4256568,94.897
670,684.5780568000001,93.282
671,684.7304568000001,93.399
672,684.8828568,94.136
673,685.0352568,94.872
674,685.1876568000001,93.381
